,q1,q2,q3,q4,q5_1,q5_2,q5_3,q5_4,q5_5,q23,q24,q25,q26,q27,q28,q35,q36_2,q36_3,q36_4,q36_5,q36_6,q36_7,q36_8,q39,q41,q44_2,q44_3,q44_4,q44_5,q44_6,q44_7,q44_8,q45,q58,q60,q64_2,q64_3,q64_4,q64_5,q64_6,q64_7,q64_8,q65_2,q65_3,q66_1,q66_2,q68_1,q68_2,q68_3,q77,q78,q79,q80,q89,q98,weight,stratum,psu,record,year,q88
38,5,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,4,8,5,5,1,2,2.73,201,391710,69,2015,5
39,5,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,2,5,8,2,6,2,1,2.73,201,391710,70,2015,4
40,5,1,2,2,1,1,1,1,2,1,1,2,2,2,1,5,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,3,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,5,8,3,6,1,2,3.77,201,391710,71,2015,3
41,6,2,3,2,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,8,8,1,1,1,2,2.04,201,391710,77,2015,6
42,7,2,3,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,2,1,2,1,1,2,1,4,8,5,1,2,2,2.55,201,391710,78,2015,4
43,5,2,3,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,3,7,4,1,2,2.55,201,391710,79,2015,1
44,6,2,3,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,4,8,1,4,2,1,2.04,201,391710,80,2015,3
45,5,2,3,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,6,8,4,7,1,2,2.55,201,391710,81,2015,5
46,5,2,2,2,1,1,1,1,2,2,2,2,2,2,1,7,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,2,7,1,5,1,1,2,1,1,1,1,2,1,2,1,2,1,1,4,8,2,3,4,2,2.73,201,391710,82,2015,6
47,5,2,2,2,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,6,1,7,1,1,2.73,201,391710,83,2015,5
48,5,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,3,7,2,1,1,1,3.77,201,391710,85,2015,4
49,4,1,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,2,1,6,1,1,6,3,2,2.89,201,391710,87,2015,6
50,6,2,3,2,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,2,1,2,1,1,1,2,6,7,5,3,1,2,2.55,201,391710,90,2015,5
51,6,1,3,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,7,5,5,4,1,2,2.78,201,391710,92,2015,4
52,5,2,3,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,7,3,1,2,2.55,201,391710,94,2015,3
53,5,2,3,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,4,7,2,4,2,2,2.55,201,391710,98,2015,4
54,6,2,3,2,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,5,7,1,2,2.55,201,391710,99,2015,5
55,5,2,3,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,1,2,1,2,1,1,1,2,8,8,3,4,2,2,2.55,201,391710,101,2015,4
56,6,1,3,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,2,1,8,5,1,4,1,2,2.78,201,391710,103,2015,4
57,6,1,4,2,1,1,1,1,2,2,2,1,2,2,1,3,1,1,1,1,1,1,1,3,4,1,1,1,2,1,1,1,7,1,6,1,1,1,2,1,1,1,1,2,2,1,2,1,1,4,4,3,7,2,1,2.67,201,391710,105,2015,5
58,5,2,3,2,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,8,6,4,5,2,2,2.55,201,391710,106,2015,3
59,5,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,2,1,1,1,1,8,8,5,4,1,2,2.73,201,391710,109,2015,6
60,5,2,2,2,1,1,1,1,2,2,2,2,2,2,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,6,1,4,2,1,1,1,1,1,1,2,1,2,1,1,1,2,4,5,3,7,4,2,2.73,201,391710,110,2015,3
61,5,1,3,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,2,1,1,7,8,4,6,1,2,2.78,201,391710,112,2015,4
62,6,2,3,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,4,1,3,1,1,2,1,1,1,1,2,1,2,1,1,1,1,3,2,2,4,2,2,2.55,201,391710,113,2015,4
63,6,2,3,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,3,1,7,1,1,1,1,1,2,1,2,1,2,1,2,1,1,6,8,4,4,1,2,2.55,201,391710,114,2015,3
64,6,1,3,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,4,4,2,6,1,2,2.78,201,391710,115,2015,4
65,6,2,3,2,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,5,1,1,1,2,1,1,1,7,1,4,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,6,2,2,3,1,2.55,201,391710,117,2015,3
66,5,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,4,7,7,7,2,2,3.49,103,10530,119,2015,4
67,5,1,2,2,1,1,2,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,6,2,2,3.49,103,10530,121,2015,4
68,5,2,2,2,1,1,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,5,1,2,1,2,1,1,1,1,1,2,1,2,1,1,2,1,8,8,5,3,3,2,1.67,103,10530,125,2015,5
69,4,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,7,1,7,1,1,2,1,1,1,1,2,1,2,1,1,2,1,8,8,7,5,3,2,1.67,103,10530,128,2015,4
70,5,1,2,2,1,1,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,3,1,4,1,1,2,1,1,1,1,1,2,2,1,2,1,1,4,8,5,7,2,2,3.49,103,10530,129,2015,3
71,4,1,2,2,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,3,1,2,2.49,103,10530,130,2015,2
72,4,2,2,2,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,3,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,8,7,3,5,2,2,1.19,103,10530,131,2015,4
73,4,1,2,2,1,1,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,3,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,1,1,5,8,5,7,1,2,2.49,103,10530,133,2015,3
74,6,1,4,2,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,5,1,1,1,1,2,1,1,5,1,7,2,1,1,1,1,1,1,1,2,2,1,2,1,1,4,1,5,7,2,1,0.64,103,10530,134,2015,1
75,3,1,1,2,1,1,2,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,2,2,1,1,1,2,5,4,4,7,2,2,1.28,103,10530,136,2015,4
76,4,2,1,2,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,2,1,3,8,4,6,3,2,1.66,103,10530,137,2015,3
77,4,1,1,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,6,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,6,7,7,2,2,1.28,103,10530,139,2015,5
78,4,1,1,2,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,8,8,7,6,1,2,1.28,103,10530,141,2015,4
79,4,2,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,6,1,3,2,1.66,103,10530,144,2015,3
80,4,2,1,2,1,1,1,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1,1,1,3,1,1,2,1,1,1,1,2,1,2,1,1,1,2,7,7,3,4,2,2,1.16,103,10530,149,2015,5
81,4,1,1,2,1,1,2,1,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,5,7,7,2,1,1.28,103,10530,150,2015,6
82,5,2,3,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,6,4,2,6,2,1,0.82,103,10530,154,2015,1
83,6,2,3,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,8,7,4,5,2,2,0.82,103,10530,155,2015,5
84,6,1,3,2,1,1,2,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1.37,103,10530,157,2015,4
85,6,2,3,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,3,2,1,1,1,1,2,1,1,5,1,4,1,1,1,1,1,2,1,2,1,2,1,2,1,1,8,6,1,7,1,2,0.82,103,10530,158,2015,4
86,6,1,3,2,1,1,2,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,7,5,4,1,2,2,1.37,103,10530,160,2015,6
87,5,1,3,2,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,8,4,6,5,2,1,1.37,103,10530,161,2015,4
88,4,2,1,2,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,5,5,3,2,2,2,1.66,103,10530,163,2015,6
89,4,2,1,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,8,8,5,4,1,2,1.16,103,10530,164,2015,4
90,4,2,1,2,1,1,2,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,3,4,1,1,1,2,1,1,1,3,1,7,1,1,2,1,1,1,1,2,1,2,1,1,2,1,8,8,3,5,3,2,1.66,103,10530,165,2015,5
91,6,2,4,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,8,7,6,1,2,1.06,103,10530,167,2015,4
92,6,1,4,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,4,1,1,2,0.89,103,10530,171,2015,4
93,6,2,3,2,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,3,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,8,5,2,2,3,2,0.82,103,10530,175,2015,4
94,5,1,3,2,1,1,2,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,4,7,4,1,1,2,1.37,103,10530,176,2015,3
95,6,1,3,2,1,1,1,1,2,2,2,1,2,2,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,4,1,5,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,5,7,3,2,1.04,103,10530,177,2015,3
96,6,2,3,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,8,4,4,2,2,2,0.82,103,10530,178,2015,6
97,5,1,3,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,5,1,1,1,1,2,1,1,5,1,7,2,1,1,1,1,1,1,2,2,1,1,2,1,1,3,1,7,7,4,2,1.04,103,10530,179,2015,4
98,6,2,3,1,1,1,1,1,2,2,2,1,1,1,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,6,1,1,2,1,1,1,1,2,1,2,1,1,1,1,8,8,1,7,2,1,0.61,103,10530,180,2015,3
99,6,1,3,2,1,1,2,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,4,1,7,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,8,7,5,1,2,1.37,103,10530,181,2015,4
100,5,2,3,2,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,3,8,3,3,2,2,0.82,103,10530,182,2015,3
101,5,1,3,2,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,6,6,1,5,2,1,1.04,103,10530,183,2015,3
102,5,1,3,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,4,1,4,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,4,6,7,1,1.04,103,10530,184,2015,5
